rule_code,introduced_version,pr_number
PYI047,0.5.0,
PYI048,0.5.0,
PYI049,0.5.0,
PYI050,0.5.0,
PYI051,0.5.0,
PYI052,0.5.0,
PYI053,0.5.0,
PYI054,0.5.0,
PYI055,0.5.0,
PYI056,0.5.0,
PYI057,0.5.0,
PYI058,0.5.0,
PYI059,0.5.0,
PYI061,0.8.0,
PYI062,0.5.0,
PYI063,0.5.0,
PYI064,0.5.0,
PYI066,0.5.0,
Q000,0.5.0,
Q001,0.5.0,
Q002,0.5.0,
Q003,0.5.0,
Q004,0.5.0,
RET501,0.5.0,
RET502,0.5.0,
RET503,0.5.0,
RET504,0.5.0,
RET505,0.5.0,
RET506,0.5.0,
RET507,0.5.0,
RET508,0.5.0,
RSE102,0.5.0,
RUF001,0.5.0,
RUF002,0.5.0,
RUF003,0.5.0,
RUF005,0.5.0,
RUF006,0.5.0,
RUF007,0.5.0,
RUF008,0.5.0,
RUF009,0.5.0,
RUF010,0.5.0,
RUF011,0.5.0,
RUF012,0.5.0,
RUF013,0.5.0,
RUF015,0.5.0,
RUF016,0.5.0,
RUF017,0.5.0,
RUF018,0.5.0,
RUF019,0.5.0,
RUF020,0.5.0,
RUF021,0.5.0,
RUF022,0.5.0,
RUF023,0.5.0,
RUF024,0.5.0,
RUF026,0.5.0,
RUF027,0.5.0,
RUF028,0.5.0,
RUF029,0.5.0,
RUF030,0.5.0,
RUF031,0.5.7,
RUF032,0.6.2,
RUF033,0.6.4,
RUF034,0.6.4,
RUF035,0.7.4,
RUF036,0.7.4,
RUF037,0.9.0,
RUF038,0.8.0,
RUF039,0.8.0,
RUF040,0.8.1,
RUF041,0.8.1,
RUF043,0.8.4,
RUF045,0.9.7,
RUF046,0.8.2,
RUF047,0.9.3,
RUF048,0.8.0,
RUF049,0.9.0,
RUF051,0.8.3,
RUF052,0.8.2,
RUF053,0.9.5,
RUF054,0.9.6,
RUF055,0.8.1,
RUF056,0.8.5,
RUF057,0.8.5,
RUF058,0.9.3,
RUF059,0.9.10,
RUF060,0.11.9,
RUF061,0.12.0,
RUF063,0.12.1,
RUF064,0.12.1,
RUF100,0.5.0,
RUF101,0.5.0,
RUF102,0.11.4,
RUF200,0.5.0,
S101,0.5.0,
S102,0.5.0,
S103,0.5.0,
S104,0.5.0,
S105,0.5.0,
S106,0.5.0,
S107,0.5.0,
S108,0.5.0,
S110,0.5.0,
S112,0.5.0,
S113,0.5.0,
S201,0.5.0,
S202,0.5.0,
S301,0.5.0,
S302,0.5.0,
S303,0.5.0,
S304,0.5.0,
S305,0.5.0,
S306,0.5.0,
S307,0.5.0,
S308,0.5.0,
S310,0.5.0,
S311,0.5.0,
S312,0.5.0,
S313,0.5.0,
S314,0.5.0,
S315,0.5.0,
S316,0.5.0,
S317,0.5.0,
S318,0.5.0,
S319,0.5.0,
S320,0.5.0,
S321,0.5.0,
S323,0.5.0,
S324,0.5.0,
S401,0.5.0,
S402,0.5.0,
S403,0.5.0,
S404,0.5.0,
S405,0.5.0,
S406,0.5.0,
S407,0.5.0,
S408,0.5.0,
S409,0.5.0,
S410,0.5.0,
S411,0.5.0,
S412,0.5.0,
S413,0.5.0,
S415,0.5.0,
S501,0.5.0,
S502,0.5.0,
S503,0.5.0,
S504,0.5.0,
S505,0.5.0,
S506,0.5.0,
S507,0.5.0,
S508,0.5.0,
S509,0.5.0,
S601,0.5.0,
S602,0.5.0,
S603,0.5.0,
S604,0.5.0,
S605,0.5.0,
S606,0.5.0,
S607,0.5.0,
S608,0.5.0,
S609,0.5.0,
S610,0.5.0,
S611,0.5.0,
S612,0.5.0,
S701,0.5.0,
S702,0.5.0,
S704,0.10.0,
SIM101,0.5.0,
SIM102,0.5.0,
SIM103,0.5.0,
SIM105,0.5.0,
SIM107,0.5.0,
SIM108,0.5.0,
SIM109,0.5.0,
SIM110,0.5.0,
SIM112,0.5.0,
SIM113,0.5.0,
SIM114,0.5.0,
SIM115,0.5.0,
SIM116,0.5.0,
SIM117,0.5.0,
SIM118,0.5.0,
SIM201,0.5.0,
SIM202,0.5.0,
SIM208,0.5.0,
SIM210,0.5.0,
SIM211,0.5.0,
SIM212,0.5.0,
SIM220,0.5.0,
SIM221,0.5.0,
SIM222,0.5.0,
SIM223,0.5.0,
SIM300,0.5.0,
SIM401,0.5.0,
SIM905,0.7.3,
SIM910,0.5.0,
SIM911,0.5.0,
SLF001,0.5.0,
SLOT000,0.5.0,
SLOT001,0.5.0,
SLOT002,0.5.0,
T100,0.5.0,
T201,0.5.0,
T203,0.5.0,
TC001,0.8.0,
TC002,0.8.0,
TC003,0.8.0,
TC004,0.8.0,
TC005,0.8.0,
TC006,0.8.1,
TC007,0.8.1,
TC008,0.8.1,
TC010,0.8.0,
TD001,0.5.0,
TD002,0.5.0,
TD003,0.5.0,
TD004,0.5.0,
TD005,0.5.0,
TD006,0.5.0,
TD007,0.5.0,
TID251,0.5.0,
TID252,0.5.0,
TID253,0.5.0,
TRY002,0.5.0,
TRY003,0.5.0,
TRY004,0.5.0,
TRY200,0.5.0,
TRY201,0.5.0,
TRY203,0.7.0,
TRY300,0.5.0,
TRY301,0.5.0,
TRY400,0.5.0,
TRY401,0.5.0,
UP001,0.5.0,
UP003,0.5.0,
UP004,0.5.0,
UP005,0.5.0,
UP006,0.5.0,
UP007,0.5.0,
UP008,0.5.0,
UP009,0.5.0,
UP010,0.5.0,
UP011,0.5.0,
UP012,0.5.0,
UP013,0.5.0,
UP014,0.5.0,
UP015,0.5.0,
UP017,0.5.0,
UP018,0.5.0,
UP019,0.5.0,
UP020,0.5.0,
UP021,0.5.0,
UP022,0.5.0,
UP023,0.5.0,
UP024,0.5.0,
UP025,0.5.0,
UP026,0.5.0,
UP027,0.5.0,
UP028,0.5.0,
UP029,0.5.0,
UP030,0.5.0,
UP031,0.5.0,
UP032,0.5.0,
UP033,0.5.0,
UP034,0.5.0,
UP035,0.5.0,
UP036,0.5.0,
UP037,0.5.0,
UP038,0.5.0,
UP039,0.5.0,
UP040,0.5.0,
UP041,0.5.0,
UP042,0.5.0,
UP043,0.5.3,
UP044,0.7.2,
UP045,0.9.0,
UP046,0.9.3,
UP047,0.9.3,
UP049,0.9.5,
UP050,0.11.12,
W191,0.5.0,
